,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,Class
20,188794.87680003632,138904.6230436951,-61594.88204313557,24236.26126802399,-18402.956234842433,-12433.14931668184,16875.421278405578,-21510.653902266557,-8222.940179882758,-32104.205308930563,-2220.729896385926,1023.2799273107605,-6171.47023670985,-4052.98600007496,-14441.644949823198,2781.1640637399933,-725.2637546869666,5909.1185252964115,2331.4917696898597,-5786.419775259709,disease
21,-153210.13909340597,145436.44382964785,100347.98884276932,-69266.93554690099,-24831.178931770697,-39804.57523335244,11357.748168409293,9775.65270426361,5022.873036382803,-1556.6692333177814,-274.48577979470934,2673.996410673744,-2618.285578444208,5516.863008452463,5516.223754431338,-18561.254373500415,-6869.440893023441,1223.0017776015102,12593.362023739443,2606.541624613035,disease
22,-70998.79075914838,272968.79434308544,145172.85650437966,88135.66613382213,-45991.900780640186,27352.352482305254,-5709.506350418771,-2192.585686571485,-75299.51088776322,10805.68564449169,-11158.302503730221,-13653.94417838293,-15493.742345365683,-8400.275981566152,-5252.661714398758,-3054.5247344335917,-5360.036303922604,-3290.361591328845,-7779.719581302005,8191.049504733922,disease
23,82276.02299038446,-131000.30350914475,132257.41890893094,51184.37102150312,29014.413935449906,-8789.092802595987,-27615.062566516775,-20589.883651314685,12621.97876940478,27304.91479007097,-2521.0547880003364,1687.6405283468885,-4699.195392421619,29589.911489138623,-25019.30483404164,4693.877568823495,-8679.755212906915,692.7753423694081,6527.902894791799,717.8837885509968,disease
24,124636.9566080074,367172.44279286015,21808.02826162365,72233.70234120148,-32412.057500608204,30421.433906059356,-529.8733555635537,-31331.83027534708,34900.81240383238,15041.822006691089,-12305.994417899909,19668.45425183547,5519.327903112849,8588.613425611984,17082.269658676138,6227.85211866307,8168.852695373453,-3251.0274971397575,-10255.639737784339,1568.2472165217116,disease
25,-19604.402372635497,19975.67416161161,-33503.478209101246,-28581.449060834824,-5665.713228541278,32390.141868858987,550.535164296917,41889.12085964179,25446.831773181817,-15106.94045844126,-12610.175916105736,-7156.4163938311,-9861.809198427658,5862.597596765141,-5807.930451264421,-133.09140034418425,3881.4497435533435,-4885.47044230068,7437.651985785029,12245.236428454993,disease
26,-108041.60865040577,-80146.99323008845,-424.3180215257483,74785.0850210735,-1709.5214411836841,-10080.7864299087,59062.49477988382,27989.220242675237,30039.36053317866,-25636.306967419438,24239.22247356393,-21615.017573057456,4737.914921303375,13498.040612274248,-6544.650003177745,2598.445674224889,3049.7759542790004,-4233.220736637035,-3938.292875715234,-4453.521881405534,disease
27,12788.03401815799,5042.074666448407,-64375.23136810272,-15148.396392872546,12872.455129724189,8760.298594830576,4404.183803475344,-27440.030443409825,-11290.071107970442,-29978.356942444174,-10324.705068567779,-2360.959131351285,-9595.644544314695,4554.7913127186,5354.301930880007,13589.249380479872,-233.49578181169798,-15284.568681676688,-5882.097192673491,-2117.5929198761837,disease
28,-44188.70493947768,17662.45691736767,-39443.44397534934,-48347.492104444245,165010.41010657395,53973.23589531854,5129.8287170714975,-19725.228311951512,-4075.8671844100445,43884.43194419133,-19975.339156296865,1170.6589646466452,-4604.261340982828,17623.99357860908,533.5714400673486,20675.992153471543,-5364.025568798786,-10339.683097054914,-1862.9978620515928,-1553.254658919652,disease
29,-51486.37680838469,18509.411015964764,-40347.19573277524,10434.182703509045,-29318.574853096492,2197.9939246020726,-49013.85973453701,-25493.063440700378,2167.236558006547,14918.008837511623,5329.585244411538,-672.5931888917578,-11366.650126887762,-683.6776217484503,-2971.307141431419,17678.027442360417,-12871.182900626949,6247.149912513665,-8739.672863557947,5018.0937015557565,disease
30,37896.880300211145,36977.03290479292,9293.924997557317,107849.27321585194,-17258.644138474185,48086.31490234512,6263.376197953183,1740.9718936179477,78631.24741283945,49263.79023699262,22794.925356814318,-24866.123989519918,2110.683113138722,-4373.082431070253,-5581.404360647902,-3498.3499001024297,-8557.462722236982,1362.798243602658,-5484.466575762053,-302.79863456382645,disease
31,161326.45634046316,-43877.27850326763,-30829.680907274473,-7354.660415791845,41380.29066198542,15902.048301108065,3377.068093474374,27202.95463281944,-213.72805614672214,6646.627443127497,2757.2285729886185,352.7700181704204,18085.843541415143,7047.747879837709,6124.75137993241,597.5152788602312,-7013.398839894782,-348.80152872467863,3295.6634902620594,-2964.225921747838,disease
32,134404.40868768116,611.4906106485039,-77571.75376005317,-20654.05057710395,-78387.95451596387,-42014.36850350966,28456.790612006072,15857.468708131852,-22353.12009545381,12873.634486501222,26371.666163804537,13882.895602741966,-15519.884343181413,14082.806032365257,31226.576491717005,17666.68079505696,886.3301531799367,19033.863227030415,5186.582023935805,12354.256752050253,disease
33,153488.41192370272,-91425.68031319969,52390.111917422044,4660.538117113482,-7006.44290844344,-10547.105295518984,11693.720660749404,8206.407688417452,-23357.560720643152,6193.800085349507,-1102.3256007876962,-2814.451380091134,-5555.276683223513,-1523.6863443415436,-352.90853716049014,-17562.255202322995,11564.130098167216,3282.7460676235537,1712.3435427419897,8815.878180360147,disease
34,-55603.943631632195,-61190.72555522278,101827.526829202,44734.61457872209,-45248.521796242785,24871.492879556998,1427.594817516581,-14049.274535709386,-23879.282143600387,40767.37815908436,-7705.529451017813,-10700.280529192867,-4141.2457883904235,6160.378238491629,4824.556611796804,-6956.586395497677,15910.297054551807,-352.335371198806,11223.5188449468,-4228.929160569772,disease
35,17974.49008596342,-6417.254542446614,164572.23075793704,-52906.37957810768,-33701.625284067384,27108.851730402832,-2655.5838011689407,3081.96559966166,-6429.357737700939,-30960.357803985848,-12850.522683313226,6278.6069243408565,-9407.154495648481,-12978.917743822465,-6179.445951433793,3336.001556913284,-5799.958583321065,-6342.631131044344,4063.0388752499716,4248.296725889725,disease
36,70077.5529367831,268805.66545577184,76129.73856786087,43941.8517752161,65010.77662949033,-59780.74679622163,-13412.8874990687,-3513.0649772523707,-943.9350582787738,-26507.606329716793,-844.887224399407,9965.010783157137,20928.202585918898,6043.223982316508,-13985.064314304678,-1449.301674715604,3454.5169870009095,8263.407636981978,10109.82411827681,-2586.5950090470196,disease
37,19393.609583764046,-47634.72833050019,97600.41196540318,-15015.993973503415,32769.90055641021,-48318.14646457552,-37041.99523262647,14728.911875419295,-24058.265314039498,4986.253126968496,-15075.451370149478,-3625.3815767510196,4866.393812654708,10280.571369754913,839.7501938791075,2254.013624269694,-440.53357081234697,84.16805980361512,-3573.197080283946,-1305.8762979565163,disease
38,78658.90815607726,-19113.804855298058,86017.31510551345,-74130.2659238924,27745.487878766067,-69442.36529864917,-15421.325957275589,-6247.5203034441265,-4650.982537078618,-11825.395761265898,3498.688674128978,-8624.76538347186,5673.9825458801215,1036.6537719870978,-7955.613865500674,-5136.301112384501,6057.093530080889,-1008.9609324666773,-3608.9400391585746,-2456.485522314128,disease
39,-47810.41236574374,-13794.744094967833,121890.12942971007,-97476.33901596496,3694.4914958755353,26349.274752122124,-12741.584124048528,-16482.364715251257,-624.0284527930808,-19656.7281737558,21379.985156789964,-22541.897385011096,4742.11558748959,7966.404610720243,21084.395761406064,18798.065771718448,-7386.91363092895,16700.40602852292,5835.979525429966,1800.852010126256,disease
40,201739.75405030965,-44161.418949432016,110078.13450018557,25206.62637082236,-113496.00749282785,-36943.26518297637,-4656.84717995201,-53016.55369844558,69295.59210406615,21888.093296099607,-22793.86223912339,-2534.8471126216514,8701.307562954193,4958.603834899477,15727.237205315805,-5688.487443295654,-1862.3789396528266,-9814.50664284874,1254.1921586729768,7252.360138854419,disease
